"subscriptionId","resourceGroup","name","type","location","totalTags","estadoEtiquetado","tagsActuales"
"b428f40f-25ce-4000-b888-b850b9ffd789","glpi-protg","vm-glpi","microsoft.compute/virtualmachines","eastus","4","Etiquetado medio","{""Environment"":""Production"",""CostCenter"":""ProTG"",""Application"":""GLPI"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","VM-SQL-ETL_OsDisk_1_ad7c1504bef549b88046449d327ba56e","microsoft.compute/disks","eastus","4","Etiquetado medio","{""Environment"":""Production"",""Application"":""ETL"",""CostCenter"":""ProTG"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","vault-mlqzlkj1","microsoft.recoveryservices/vaults","eastus","4","Etiquetado medio","{""Environment"":""Production"",""Application"":""ETL"",""CostCenter"":""ProTG"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","glpi-protg","vm-glpi-nsg","microsoft.network/networksecuritygroups","eastus","4","Etiquetado medio","{""Environment"":""Production"",""CostCenter"":""ProTG"",""Application"":""GLPI"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","VM-SQL-ETL_DataDisk_0","microsoft.compute/disks","eastus","4","Etiquetado medio","{""Environment"":""Production"",""Application"":""ETL"",""CostCenter"":""ProTG"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","VM-SQL-ETL","microsoft.compute/virtualmachines","eastus","4","Etiquetado medio","{""Environment"":""Production"",""Application"":""ETL"",""CostCenter"":""ProTG"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","vnet-eastus","microsoft.network/virtualnetworks","eastus","4","Etiquetado medio","{""Environment"":""Production"",""Application"":""ETL"",""CostCenter"":""ProTG"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","glpi-protg","vm-glpi_OsDisk_1_0d746201b9574d7d9440ec32af6c02b7","microsoft.compute/disks","eastus","4","Etiquetado medio","{""Environment"":""Production"",""CostCenter"":""ProTG"",""Application"":""GLPI"",""Client"":""ProTG""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","OSTickets14","microsoft.web/sites","southcentralus","3","Etiquetado medio","{""hidden-link: /app-insights-resource-id"":""/subscriptions/720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78/resourceGroups/rgProtgWeb/providers/microsoft.insights/components/osTicket-wapp-Insight"",""hidden-link: /app-insights-instrumentation-key"":""9862dc59-5dc3-41c1-8260-2592b1c6d5af"",""hidden-link: /app-insights-conn-string"":""InstrumentationKey=9862dc59-5dc3-41c1-8260-2592b1c6d5af;IngestionEndpoint=https://southcentralus-0.in.applicationinsights.azure.com/;LiveEndpoint=https://southcentralus.livediagnostics.monitor.azure.com/;ApplicationId=0785bd01-1b07-4315-8c52-0ade30310c05""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-pruebas","osTickets-Pruebas-14092023","microsoft.web/sites","southcentralus","2","Etiquetado bajo","{""Ambiente"":""Pruebas"",""Aplicación"":""Tickets""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-pruebas","Plan-OSTickets-PruebaLinux","microsoft.web/serverfarms","southcentralus","2","Etiquetado bajo","{""Ambiente"":""Pruebas"",""Aplicación"":""Tickets""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","HeskV2022","microsoft.web/sites","southcentralus","2","Etiquetado bajo","{""Ambiente"":""Produccion"",""Aplicación"":""Hesk""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","rgprotgprod","dxndes24","microsoft.dbformysql/flexibleservers","southcentralus","2","Etiquetado bajo","{""Ambiente"":""Pruebas y Produccion"",""Aplicación"":""DxN""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","osticketalmacenamiento","microsoft.storage/storageaccounts","southcentralus","2","Etiquetado bajo","{""Ambiente"":""Pruebas y Produccion"",""aplicacion"":""OSTickets""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","gprotgautomation","ScheduledStartStop_Base_Classic","microsoft.automation/automationaccounts/runbooks","eastus2","1","Etiquetado bajo","{""version"":""1.0.0.0""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","AppSrv-Pruebas","microsoft.web/serverfarms","southcentralus","1","Etiquetado bajo","{""Ambiente"":""Pruebas""}"
"720bb4fd-9e4d-4525-95e6-3f6dfcfc6c78","osticket-webapp","OSTicketsv14","microsoft.insights/components","southcentralus","1","Etiquetado bajo","{""OSTickets"":""V14""}"
